# emapper version: emapper-1.0.3-35-g63c274b emapper DB: 2.0
# command: ./emapper.py  --cpu 6 -i /data/shared/emapper_jobs/user_data/MM_lott3cd5/query_seqs.fa --output query_seqs.fa --output_dir /data/shared/emapper_jobs/user_data/MM_lott3cd5 -m diamond -d none --tax_scope auto --go_evidence non-electronic --target_orthologs all --seed_ortholog_evalue 0.001 --seed_ortholog_score 60 --query-cover 20 --subject-cover 0 --override --temp_dir /data/shared/emapper_jobs/user_data/MM_lott3cd5
# time: Tue May 26 17:00:36 2020
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction
DBLOAMIM_00004	1162668.LFE_1152	1.1e-36	160.2	Bacteria	bchE		1.21.98.3	ko:K04034	ko00860,ko01100,ko01110,map00860,map01100,map01110		R06268,R06269,R06270	RC00741,RC01491,RC01492	ko00000,ko00001,ko01000				Bacteria	COG1032@1,COG1032@2	NA|NA|NA	C	radical SAM domain protein
DBLOAMIM_00005	1162668.LFE_0968	3e-14	84.7	Bacteria	bcr4			ko:K20543					ko00000,ko02000	1.B.55.3			Bacteria	COG4783@1,COG4783@2	NA|NA|NA	L	chaperone-mediated protein folding
DBLOAMIM_00007	1162668.LFE_0969	8.7e-65	253.1	Bacteria													Bacteria	COG4313@1,COG4313@2	NA|NA|NA		
DBLOAMIM_00009	1162668.LFE_2470	1.6e-15	87.8	Bacteria				ko:K11210					ko00000,ko01000				Bacteria	COG0346@1,COG0346@2	NA|NA|NA	E	lactoylglutathione lyase activity
DBLOAMIM_00011	1162668.LFE_2473	1e-12	79.0	Nitrospirae	nadA	GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006520,GO:0006531,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008987,GO:0009058,GO:0009066,GO:0009108,GO:0009117,GO:0009165,GO:0009435,GO:0009987,GO:0016053,GO:0017144,GO:0018130,GO:0019355,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019637,GO:0019674,GO:0019752,GO:0019805,GO:0030312,GO:0034627,GO:0034628,GO:0034641,GO:0034654,GO:0040007,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0046496,GO:0046874,GO:0048037,GO:0051186,GO:0051188,GO:0051536,GO:0051539,GO:0051540,GO:0055086,GO:0071704,GO:0071944,GO:0072524,GO:0072525,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605	2.5.1.72	ko:K03517	ko00760,ko01100,map00760,map01100	M00115	R04292	RC01119	ko00000,ko00001,ko00002,ko01000			iHN637.CLJU_RS12020	Bacteria	3J0NV@40117,COG0379@1,COG0379@2	NA|NA|NA	H	Catalyzes the condensation of iminoaspartate with dihydroxyacetone phosphate to form quinolinate
DBLOAMIM_00012	1162668.LFE_2473	7.3e-41	173.3	Nitrospirae	nadA	GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006520,GO:0006531,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008987,GO:0009058,GO:0009066,GO:0009108,GO:0009117,GO:0009165,GO:0009435,GO:0009987,GO:0016053,GO:0017144,GO:0018130,GO:0019355,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019637,GO:0019674,GO:0019752,GO:0019805,GO:0030312,GO:0034627,GO:0034628,GO:0034641,GO:0034654,GO:0040007,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0046496,GO:0046874,GO:0048037,GO:0051186,GO:0051188,GO:0051536,GO:0051539,GO:0051540,GO:0055086,GO:0071704,GO:0071944,GO:0072524,GO:0072525,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605	2.5.1.72	ko:K03517	ko00760,ko01100,map00760,map01100	M00115	R04292	RC01119	ko00000,ko00001,ko00002,ko01000			iHN637.CLJU_RS12020	Bacteria	3J0NV@40117,COG0379@1,COG0379@2	NA|NA|NA	H	Catalyzes the condensation of iminoaspartate with dihydroxyacetone phosphate to form quinolinate
DBLOAMIM_00013	1162668.LFE_2474	1e-121	443.4	Nitrospirae	asd	GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0004073,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006549,GO:0006553,GO:0006555,GO:0006566,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009081,GO:0009082,GO:0009085,GO:0009086,GO:0009088,GO:0009089,GO:0009097,GO:0009987,GO:0016053,GO:0016491,GO:0016620,GO:0016903,GO:0019752,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046451,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	1.2.1.11	ko:K00133	ko00260,ko00261,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01210,ko01230,map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01130,map01210,map01230	M00016,M00017,M00018,M00033,M00525,M00526,M00527	R02291	RC00684	ko00000,ko00001,ko00002,ko01000				Bacteria	3J0BR@40117,COG0136@1,COG0136@2	NA|NA|NA	E	Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate
DBLOAMIM_00014	1162668.LFE_2475	4.6e-149	534.3	Nitrospirae	leuB	GO:0000287,GO:0003674,GO:0003824,GO:0003862,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006551,GO:0006807,GO:0006950,GO:0007154,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009081,GO:0009082,GO:0009098,GO:0009267,GO:0009605,GO:0009987,GO:0009991,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0019752,GO:0030145,GO:0031667,GO:0031668,GO:0031669,GO:0033554,GO:0034198,GO:0042594,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046872,GO:0046914,GO:0050896,GO:0051716,GO:0055114,GO:0071496,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1990928	1.1.1.85	ko:K00052	ko00290,ko00660,ko01100,ko01110,ko01210,ko01230,map00290,map00660,map01100,map01110,map01210,map01230	M00432,M00535	R00994,R04426,R10052	RC00084,RC00417,RC03036	br01601,ko00000,ko00001,ko00002,ko01000			iECs_1301.ECs0077,iYL1228.KPN_00079,iZ_1308.Z0082	Bacteria	3J0JQ@40117,COG0473@1,COG0473@2	NA|NA|NA	C	Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate
DBLOAMIM_00015	1162668.LFE_2476	4.5e-198	697.6	Nitrospirae	leuA		2.3.3.13	ko:K01649	ko00290,ko00620,ko01100,ko01110,ko01210,ko01230,map00290,map00620,map01100,map01110,map01210,map01230	M00432	R01213	RC00004,RC00470,RC02754	br01601,ko00000,ko00001,ko00002,ko01000			iSB619.SA_RS10690,iYO844.BSU28280	Bacteria	3J0F7@40117,COG0119@1,COG0119@2	NA|NA|NA	E	Belongs to the alpha-IPM synthase homocitrate synthase family
DBLOAMIM_00016	1162668.LFE_2477	1.4e-97	362.8	Nitrospirae	pssA	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	2.7.8.8	ko:K17103	ko00260,ko00564,ko01100,ko01110,map00260,map00564,map01100,map01110	M00093	R01800	RC00002,RC00017,RC02795	ko00000,ko00001,ko00002,ko01000				Bacteria	3J0KW@40117,COG1183@1,COG1183@2	NA|NA|NA	I	CDP-alcohol phosphatidyltransferase
